ox_code	kt_2la	kt_2rb
AR0045-C	0	0
AR0047-C	0	0
AR0049-C	0	0
AR0050-C	0	0
AR0051-C	0	0
AR0053-C	0	0
AR0054-C	0	0
AR0057-C	0	0
AR0059-C	0	0
AR0061-C	0	0
AR0062-C	0	0
AR0063-C	0	0
AR0065-C	0	0
AR0066-C	0	0
AR0069-C	0	0
AR0070-C	0	0
AR0071-C	0	0
AR0072-C	0	0
AR0073-C	0	0
AR0074-C	0	0
AR0075-C	0	0
AR0076-C	0	0
AR0078-C	0	0
AR0079-C	0	0
AR0080-C	0	0
AR0081-C	0	0
AR0083-C	0	0
AR0084-C	0	0
AR0086-C	0	0
AR0087-C	0	0
AR0089-C	0	0
AR0090-C	0	0
AR0092-C	0	0
AR0093-C	0	0
AR0095-C	0	0
AR0096-C	0	0
AR0098-C	0	0
AR0099-C	0	0
AR0100-C	0	0
AS0001-C	0	0
AS0002-C	0	0
AS0003-C	0	0
AS0004-C	0	0
AS0006-C	0	0
AS0007-C	0	0
AS0008-C	0	0
AS0009-C	0	0
AS0010-C	0	0
AS0011-C	0	0
AS0012-C	0	0
AS0013-C	0	0
AS0014-C	0	0
AS0015-C	0	0
AS0016-C	0	0
AS0017-C	0	0
AS0018-C	0	0
AS0019-C	0	0
AS0020-C	1	0
AS0021-C	0	0
AS0022-C	0	0
AS0024-C	0	0
AS0026-C	0	0
AS0028-C	1	0
AS0030-C	0	0
AS0032-C	0	0
AS0033-C	0	0
AS0034-C	0	0
AS0035-C	0	0
AS0036-C	0	0
AS0037-C	0	0
AS0039-C	0	0
AS0042-C	0	0
AS0044-C	0	0
AS0045-C	0	0
AS0047-C	0	0
AS0049-C	0	0
AS0052-C	0	0
AS0053-C	0	0
AS0054-C	1	0
AS0055-C	0	0
AS0056-C	0	0
AS0058-C	0	0
AS0059-C	0	0
AS0064-C	0	0
AS0065-C	0	0
AS0066-C	0	0
AS0068-C	0	0
AS0069-C	0	0
AS0070-C	0	0
AS0071-C	1	0
AS0072-C	0	0
AS0073-C	0	0
AS0074-C	0	0
AS0076-C	0	0
AS0077-C	0	0
AV0001-C	2	1
AV0002-C	2	0
AV0003-C	1	0
AV0004-C	0	1
AV0005-C	1	0
AV0007-C	0	0
AV0008-C	1	1
AV0009-C	1	1
AV0010-C	1	1
AV0011-C	2	1
AV0012-C	1	1
AV0013-C	1	1
AV0014-C	0	0
AV0015-C	1	0
AV0018-C	1	2
AV0024-C	0	0
AV0026-C	0	1
AV0027-C	0	1
AV0029-C	1	1
AV0030-C	1	1
AV0031-C	1	2
AV0032-C	0	1
AV0033-C	0	1
AV0034-C	2	2
AV0035-C	2	2
AV0036-C	2	2
AV0039-C	0	1
AV0041-C	0	1
AV0044-C	0	0
AV0045-C	0	1
AV0047-C	0	0
